"Options.SECTION:[algernon.529Tiles]"	"529 Kare"
"Options.OPTION:UnlockNone"	"Ek kare yok"
"Options.OPTION_DESCRIPTION:UnlockNone"	"Ana oyun davranışını korur ve ekstra kare açılımı sağlamaz."
"Options.OPTION:UnlockAll"	"Tüm kareleri aç"
"Options.OPTION_DESCRIPTION:UnlockAll"	"Yeni bir şehir başlattığınızda (veya mevcut birini yüklediğinizde) haritadaki tüm kareleri otomatik ve anında açar."
"Options.OPTION:ExtraTilesAtStart"	"Başlangıçta ekstra kareler sağla"
"Options.OPTION_DESCRIPTION:ExtraTilesAtStart"	"Yeni bir şehir başlatırken ek kareleri hemen kullanılabilir şekilde ekler (tüm kilometre taşları buna ek olarak normal kare açılımlarını sağlar)."
"Options.OPTION:ExtraTilesAtEnd"	"Son kilometre taşında ekstra kareler sağla"
"Options.OPTION_DESCRIPTION:ExtraTilesAtEnd"	"Ek kare açılımlarını son kilometre taşına ekler."
"Options.OPTION:AssignToMilestones"	"Ek kareleri kilometre taşlarına dağıt"
"Options.OPTION_DESCRIPTION:AssignToMilestones"	"Ek kare açılımlarını, her kilometre taşının normal oranına göre tüm oyun kilometre taşlarına dağıtır."
"Options.OPTION:NoStartingTiles"	"Başlangıçta açılacak kareleri seç"
"Options.OPTION_DESCRIPTION:NoStartingTiles"	"Bu seçenek etkinse, yeni bir oyun başlatırken başlangıç kareleri otomatik olarak açılmaz. Bunun yerine kendi başlangıç karelerinizi seçebilirsiniz (ilk dokuz kare ücretsiz olur)."
"Options.OPTION:UpkeepMultiplier"	"Kare bakım maliyeti çarpanı"
"Options.OPTION_DESCRIPTION:UpkeepMultiplier"	"Oyunun varsayılan kare bakım maliyeti bu yüzdeyle çarpılır. Kare bakımını tamamen devre dışı bırakmak için bunu sıfıra ayarlayın."
"Options.OPTION:ResetModSettings"	"Varsayılana dön"
"Options.OPTION_DESCRIPTION:ResetModSettings"	"Tüm 529 Kare mod ayarlarını varsayılana sıfırlar."
"Options.WARNING:ResetModSettings"	"Tüm 529 Kare ayarlarını varsayılan değerlere sıfırlamak istiyor musunuz? Bu işlem geri alınamaz."
"Options.OPTION:RelockAllTiles"	"Tüm kareleri yeniden kilitle"
"Options.OPTION_DESCRIPTION:RelockAllTiles"	"Tüm açılmış kareleri yeniden kilitler; kazandığınız sınır dahilinde kareleri hemen yeniden satın alabilirsiniz."
